timestamp,gun_id,rank,point
1765160780.1385958,1023,31,14876328
1765160780.1385958,1045,32,14828894
1765160780.1385958,1024,33,14742359
1765160780.1385958,1053,34,14646850
1765160780.1385958,1050,35,14639799
1765160780.1385958,1026,36,14625056
1765160780.1385958,1043,37,14606467
1765160780.1385958,1040,38,14565443
1765160780.1385958,1038,39,14543649
1765160780.1385958,1041,40,14514804
1765160780.1385958,1036,41,14510958
1765165484.723918,1052,1,69595872
1765165484.723918,1017,2,43561100
1765165484.723918,1056,3,27667483
1765165484.723918,1034,4,21719644
1765165484.723918,1025,5,20301752
1765165484.723918,1047,6,19374225
1765165484.723918,1039,7,18594769
1765165484.723918,1044,8,18517208
1765165484.723918,1013,9,18009536
1765165484.723918,1064,10,17683908
1765165484.723918,1055,11,17323025
1765165484.723918,1051,12,16787149
1765165484.723918,1042,13,16305758
1765165484.723918,1028,14,16258324
1765165484.723918,1057,15,16252555
1765165484.723918,1027,16,16084613
1765165484.723918,1059,17,16021795
1765165484.723918,1054,18,15906415
1765165484.723918,1021,19,15862186
1765165484.723918,1048,20,15605145
1765165484.723918,1032,21,15562198
1765165484.723918,1029,22,15528225
1765165484.723918,1035,23,15410281
1765165484.723918,1008,24,15284645
1765165484.723918,1022,25,15201956
1765165484.723918,1033,26,15157727
1765165484.723918,1001,27,15157727
1765165484.723918,1009,28,15088499
1765165484.723918,1037,29,15084012
1765165484.723918,1015,30,15050680
1765165484.723918,1023,31,14941710
1765165484.723918,1045,32,14894276
1765165484.723918,1024,33,14808382
1765165484.723918,1053,34,14709668
1765165484.723918,1050,35,14703899
1765165484.723918,1026,36,14687233
1765165484.723918,1043,37,14670567
1765165484.723918,1040,38,14628902
1765165484.723918,1038,39,14607749
1765165484.723918,1041,40,14578263
1765165484.723918,1036,41,14573776
1765169752.437622,1052,1,69876860
1765169752.437622,1017,2,43937608
1765169752.437622,1056,3,27762992
1765169752.437622,1034,4,21808743
1765169752.437622,1025,5,20383800
1765169752.437622,1047,6,19451786
1765169752.437622,1039,7,18671048
1765169752.437622,1044,8,18600538
1765169752.437622,1013,9,18089020
1765169752.437622,1064,10,17762751
1765169752.437622,1055,11,17401227
1765169752.437622,1051,12,16855736
1765169752.437622,1042,13,16380114
1765169752.437622,1028,14,16325629
1765169752.437622,1057,15,16318578
1765169752.437622,1027,16,16154482
1765169752.437622,1059,17,16089100
1765169752.437622,1054,18,15976925
1765169752.437622,1021,19,15935901
1765169752.437622,1048,20,15673091
1765169752.437622,1032,21,15628221
1765169752.437622,1029,22,15600017
1765169752.437622,1035,23,15477586
1765169752.437622,1008,24,15356437
1765169752.437622,1022,25,15268620
1765169752.437622,1033,26,15225032
1765169752.437622,1001,27,15223750
1765169752.437622,1009,28,15154522
1765169752.437622,1037,29,15149394
1765169752.437622,1015,30,15117985
1765169752.437622,1023,31,15005810
1765169752.437622,1045,32,14963504
1765169752.437622,1024,33,14873123
1765169752.437622,1053,34,14772486
1765169752.437622,1050,35,14771204
1765169752.437622,1026,36,14753256
1765169752.437622,1043,37,14734026
1765169752.437622,1040,38,14692361
1765169752.437622,1038,39,14671849
1765169752.437622,1041,40,14642363
1765169752.437622,1036,41,14639158
1765172917.69054,1052,1,70162624
1765172917.69054,1017,2,44350732
1765172917.69054,1056,3,27873244
1765172917.69054,1034,4,21907457
1765172917.69054,1025,5,20462643
1765172917.69054,1047,6,19536398
1765172917.69054,1039,7,18749891
1765172917.69054,1044,8,18687714
1765172917.69054,1013,9,18167222
1765172917.69054,1064,10,17845440
1765172917.69054,1055,11,17473019
1765172917.69054,1051,12,16930092
1765172917.69054,1042,13,16453188
1765172917.69054,1028,14,16405113
1765172917.69054,1057,15,16389088
1765172917.69054,1027,16,16227556
1765172917.69054,1059,17,16158328
1765172917.69054,1054,18,16051281
